Size	Type	ID	Path
51224	DGRP	326af2d7-d988-428a-94a0-e68c60385671	Cranky_DEP
48644	DGRP	95ed2c8f-89dd-4639-b7e5-645eb7dc1fb5	Dixie_DEP
47824	DGRP	55b1325c-ce61-4bfd-b7bf-ba78184c2c46	Diddy_DEP
41424	DGRP	185b0752-664a-488f-818c-b53a075be3d4	DK_DEP
160644	DGRP	91538dba-acd3-401c-9699-c409903d4543	PreloadResources_DEP
14981	SKEL	08373010-88ae-4bdf-b088-f785b1c21c54	Characters/Player/Donkey_Kong/exportData/DK.08373010-88ae-4bdf-b088-f785b1c21c54.skel
28137	MTRL	62c83bb8-f188-4a89-ae2f-84ff4f39386c	Materials/FURM/FURM_0xBBDCBCBB.62c83bb8-f188-4a89-ae2f-84ff4f39386c.cmat
160	TXTR	d602f212-bc35-4693-a609-2dcb88fc20ce	Experiments/john/DefaultTextures/DefaultBlack.d602f212-bc35-4693-a609-2dcb88fc20ce.ctex
80107	MTRL	fc767b26-b913-4578-ab9f-573f962e7040	Materials/PHNG/PHNG_0x761EB543.fc767b26-b913-4578-ab9f-573f962e7040.cmat
904	TXTR	6364bcad-776c-4833-914e-049c5f9e0832	characters/Player/donkey_kong/sourceimages/dk_fur_noise.6364bcad-776c-4833-914e-049c5f9e0832.ctex
6877	TXTR	363d0e69-9f09-41f3-83cc-05a403a2c3ee	characters/Player/donkey_kong/sourceimages/DK_tie_fur_DDS_s.363d0e69-9f09-41f3-83cc-05a403a2c3ee.ctex
271546	TXTR	6e8b95d3-a76a-4c0f-8eb7-1399dab8a7f1	characters/Player/donkey_kong/sourceimages/dk_fur_s.6e8b95d3-a76a-4c0f-8eb7-1399dab8a7f1.ctex
11562	TXTR	1a77e7ab-2d79-4230-a0a4-143b039afa69	objects/character_props/gamepad/sourceimages/Gamepad_d.1a77e7ab-2d79-4230-a0a4-143b039afa69.ctex
77627	MTRL	ba2b0e47-feb7-4960-bd66-1ee37b11f07f	Materials/PHNG/PHNG_0x261E09BD.ba2b0e47-feb7-4960-bd66-1ee37b11f07f.cmat
1520	TXTR	94f32dfa-07f0-4ea3-8aa0-252236da1ed3	characters/Player/donkey_kong/sourceimages/dk_fur_specFalloff.94f32dfa-07f0-4ea3-8aa0-252236da1ed3.ctex
17024	TXTR	c78f102a-e531-48c3-8280-30f876a1fbe7	characters/Player/donkey_kong/sourceimages/DK_tie_fur_DDS_n.c78f102a-e531-48c3-8280-30f876a1fbe7.ctex
6178	TXTR	49da609d-6680-4ab3-be69-44999a1368ab	characters/Player/donkey_kong/sourceimages/dk_fur_h.49da609d-6680-4ab3-be69-44999a1368ab.ctex
367	TXTR	bccb07f9-ebe0-418d-bac2-6f17663fe1e4	characters/Player/donkey_kong/sourceimages/dk_teeth_s.bccb07f9-ebe0-418d-bac2-6f17663fe1e4.ctex
12840	TXTR	e3f2ee3c-588f-42de-a9c1-703f08a635b2	objects/character_props/gamepad/sourceimages/Gamepad_s.e3f2ee3c-588f-42de-a9c1-703f08a635b2.ctex
24741	TXTR	4eb19ce4-6968-40bd-9549-85ba451fb4b0	characters/Player/donkey_kong/sourceimages/dk_fur_f.4eb19ce4-6968-40bd-9549-85ba451fb4b0.ctex
11267	TXTR	ce0d4525-791c-47b1-bbc0-85fbdec904cc	objects/character_props/gamepad/sourceimages/Gamepad_n.ce0d4525-791c-47b1-bbc0-85fbdec904cc.ctex
4383	TXTR	a2ce329b-6747-46cd-83c8-8ad5495cbed8	characters/Player/donkey_kong/sourceimages/dk_teeth_d.a2ce329b-6747-46cd-83c8-8ad5495cbed8.ctex
1289230	TXTR	99091058-2275-44a1-946d-8bc514bd3c8d	characters/Player/donkey_kong/sourceimages/dk_fur_DDS_n.99091058-2275-44a1-946d-8bc514bd3c8d.ctex
11328	TXTR	5cf4d8f7-d9e5-4219-802a-a714575a4299	characters/Player/donkey_kong/sourceimages/dk_teeth_n.5cf4d8f7-d9e5-4219-802a-a714575a4299.ctex
427560	TXTR	c963eed7-cc13-487b-8f1c-a74c45b1ee37	characters/Player/donkey_kong/sourceimages/dk_fur_DDS_d.c963eed7-cc13-487b-8f1c-a74c45b1ee37.ctex
15985	TXTR	5ce9a550-701e-4e6e-8211-e182bcfbbd2d	characters/Player/donkey_kong/sourceimages/DK_tie_fur_DDS_d.5ce9a550-701e-4e6e-8211-e182bcfbbd2d.ctex
707824	SMDL	24cad92f-2ad7-4f90-80a8-e48d33883364	Characters/Player/Donkey_Kong/exportData/kong_standard.24cad92f-2ad7-4f90-80a8-e48d33883364.smdl
712931	SMDL	92212789-0e5e-496a-804c-7280208a3909	characters/Player/Donkey_Kong/exportData/kong_silhouette.92212789-0e5e-496a-804c-7280208a3909.smdl
385	TXTR	728a9988-7664-49a2-882c-308293045c01	experiments/gray/kong_test/gold_d.728a9988-7664-49a2-882c-308293045c01.ctex
75327	MTRL	a7d24c95-1351-4119-8dd4-c0d71cde6099	Materials/PHNG/PHNG_0xC0229C21.a7d24c95-1351-4119-8dd4-c0d71cde6099.cmat
381	TXTR	c2c4dc79-58c5-4f8c-8d6b-2d7e9eea2343	experiments/gray/kong_test/gold02_d.c2c4dc79-58c5-4f8c-8d6b-2d7e9eea2343.ctex
350	TXTR	62e97c35-9b16-4f40-8c25-5676f91b14e3	experiments/gray/kong_test/reflect.62e97c35-9b16-4f40-8c25-5676f91b14e3.ctex
80221	MTRL	5f3699c0-7539-45b9-8876-9fd1b2772fbe	Materials/PHNG/PHNG_0x73BC8957.5f3699c0-7539-45b9-8876-9fd1b2772fbe.cmat
7250	TXTR	6e05e408-9fdf-4a07-a76d-c7a9848676b2	characters/textures/SphereMap_gold_dot.6e05e408-9fdf-4a07-a76d-c7a9848676b2.ctex
350	TXTR	1235ae85-6c02-46b5-8c88-d53ae3db0d0a	experiments/gray/kong_test/gold04_d.1235ae85-6c02-46b5-8c88-d53ae3db0d0a.ctex
350	TXTR	880076ee-995c-4533-b2b6-eeaca22f2760	experiments/gray/kong_test/gold03_d.880076ee-995c-4533-b2b6-eeaca22f2760.ctex
686687	SMDL	05f60bdb-7171-403e-936e-657bd04e5ef1	characters/Player/donkey_kong/exportData/kong_invincible.05f60bdb-7171-403e-936e-657bd04e5ef1.smdl
4127	TXTR	562614d3-a5eb-4c86-9d09-1d581f149ad1	characters/textures/SphereMap_gold02.562614d3-a5eb-4c86-9d09-1d581f149ad1.ctex
533	TXTR	63652be2-a95e-42a1-8f9e-d27743dd83ed	characters/textures/flat_n.63652be2-a95e-42a1-8f9e-d27743dd83ed.ctex
329	TXTR	c1660377-5c05-49c2-ab43-18077b05f21d	characters/textures/flat_r.c1660377-5c05-49c2-ab43-18077b05f21d.ctex
64157	MTRL	cd400212-2fc3-42f0-b4c1-a348eaa30815	Materials/REFL/REFL_0xA2338DFB.cd400212-2fc3-42f0-b4c1-a348eaa30815.cmat
80983	MTRL	dd4de69a-f381-4503-8bdd-359d13e3cd27	Materials/PHNG/PHNG_0x21C56F39.dd4de69a-f381-4503-8bdd-359d13e3cd27.cmat
2063	TXTR	78c40e47-39ef-4de3-81d6-d3ff79e09114	objects/character_props/gamepad/sourceimages/Gamepad_r.78c40e47-39ef-4de3-81d6-d3ff79e09114.ctex
281012	SMDL	7d36a80c-9aad-42f3-b003-25d87564698c	characters/player/donkey_kong/exportData/kong_invincible_sil.7d36a80c-9aad-42f3-b003-25d87564698c.smdl
388	ANIM	9d5f9480-1707-4ecd-9d41-5e94ca4c4087	Characters/Player/Donkey_Kong/exportData/add_blink_DK.9d5f9480-1707-4ecd-9d41-5e94ca4c4087.anim
180	ANIM	f3969eac-2552-4c65-b4cf-c7ec76d8376e	Characters/Player/Donkey_Kong/exportData/add_head_tracking_c_DK.f3969eac-2552-4c65-b4cf-c7ec76d8376e.anim
236	ANIM	e9722934-4782-4a5d-bde8-fbc88b7e3bd8	Characters/Player/Donkey_Kong/exportData/add_head_tracking_down_DK.e9722934-4782-4a5d-bde8-fbc88b7e3bd8.anim
236	ANIM	b0befe3e-31d4-44c4-84aa-a4172adb9250	Characters/Player/Donkey_Kong/exportData/add_head_tracking_halfup_DK.b0befe3e-31d4-44c4-84aa-a4172adb9250.anim
